OID_,Nimi,Namn,OLOTILA,TOIMENPIDE,PAIVITTAJA,PAIVITYSAJ,TYYPPI,NIMISTOLAJ,TALLENNUSA,LUOKKA,TALLENTAJA,GlobalID,x,y,Kunta
19,Timmermalmi,Timmermalmen,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,luonnollinen luonnonkohde,Luontoon liityvät nimet,3/12/2018 0:00,433,ritva.myyrylainen,{BD4637EC-3DD0-46AF-AFEC-7CFF0788F0D5},376973.4881,6686003.131,Vantaa
20,Yrttipuisto,Örtparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,12/13/1999 0:00,433, ,{7F958BED-80C6-4E77-AF99-79CAB8FE06FC},391495.5078,6686688.144,Vantaa
21,Kanervanpuisto,Ljungmoparken,1, ,ritva.myyrylainen,12/29/2015 0:00,rakennettu luonnonkohde,puisto,,433, ,{C5ADB9F0-B2D7-4A3B-B2E9-241CC13081F7},393218.6626,6685328.1,Vantaa
22,Vedabacka,Vedabacka,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",12/13/1999 0:00,433, ,{C6B91695-4292-463B-B1EF-292018E8C5D9},390189.9989,6687509.348,Vantaa
23,Vasamapuisto,Skäktparken,1, ,arsi.juote@vantaa.fi,2/26/2019 0:00,rakennettu luonnonkohde,puisto,7/22/2005 0:00,433, ,{413FE0C9-73D6-4EE4-8991-3D482EA73A9A},383850.574,6686743.349,Vantaa
24,Silvolankankaanpuisto,Sillbölemalmsparken,1, , ,,rakennettu luonnonkohde,puisto,6/19/2014 0:00,433,eeva.seppanen,{6A6B94AC-7EB8-44D8-A97D-213A8015995F},383432.0959,6683093.963,Vantaa
25,Knapas,Knapas,1, ,Konversio,12/1/2011 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{83AD2CE7-84C3-4869-9C54-2984D4153134},388462.1785,6684744.875,Vantaa
26,Vanha Kormuniitty,Gamla Kormängen,1, , ,,rakennettu luonnonkohde,puisto,2/3/2016 0:00,433,ritva.myyrylainen,{33BAFE4B-1A89-48D1-9BDD-6455D736199D},395438.5055,6682912.516,Vantaa
27,Kiertotähdenpuisto,Planetparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{4376CEDB-E2BA-4D0C-84D4-3A5D78F90099},393791.6894,6690580.465,Vantaa
28,Tiedepuisto,Vetenskapsparken,1, ,ritva.myyrylainen,1/28/2015 0:00,rakennettu luonnonkohde,puisto,1/28/2015 0:00,433,ritva.myyrylainen,{85D9BBC0-5500-469F-89B0-A20610C60463},391571.462,6685160.624,Vantaa
29,Tammapuisto,Märrparken,1, ,ritva.myyrylainen,2/4/2016 0:00,rakennettu luonnonkohde,puisto,2/4/2016 0:00,433,ritva.myyrylainen,{28E4DFD7-8544-43EC-A9E7-9D31F58D5997},395056.4407,6683279.909,Vantaa
30,Karhuniitty,Björnängen,1, ,eija.nygard,10/10/2016 0:00,rakennettu luonnonkohde,puisto,11/16/1999 0:00,433, ,{AB5B5E4A-B29C-4FE9-8983-DC12CCFEF101},384523.3287,6684848.928,Vantaa
31,Solbacka,Solbacka,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{CD75823A-03DB-4CF8-90E4-422B4A740CB7},385304.4515,6690865.098,Vantaa
32,Gammelkulla,Gammelkulla,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{00EE2474-C274-43B9-9913-19C49FBDBE85},393108.3505,6686152.851,Vantaa
33,Krassipuisto,Krasseparken,1, ,arsi.juote,6/21/2011 0:00,rakennettu luonnonkohde,puisto,1/31/2000 0:00,433, ,{3133B714-B13E-4103-86D3-1BEC29748ABF},391354.4094,6685523.923,Vantaa
34,Kirkonkylä,Kyrkoby,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,kaupunginosan nimi,kylä,11/19/1999 0:00,433, ,{EA71D625-C019-440E-BCB5-90A223702C98},389030.776,6684492.965,Vantaa
35,Kaunisto,Kaunisto,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{AF1D6C74-1E80-4DEA-9CD4-FA5F4DD56372},394526.2315,6687907.557,Vantaa
36,Honkapuisto,Furuparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{94FE45D6-ECBF-4E7B-9702-21249E678501},392428.9304,6689941.414,Vantaa
37,Peltoniemenpuisto,Åkernäsparken,1, , ,,rakennettu luonnonkohde,puisto,5/3/2018 0:00,433,ritva.myyrylainen,{D15190A0-F587-4B1D-87D0-F48F6E9536A1},393082.8965,6688563.594,Vantaa
38,Pritsu,Pritsu,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,luonnollinen luonnonkohde,Luontoon liityvät nimet,,433, ,{5DEBB92C-1095-4F50-9B68-9C0FD85B700C},377598.8584,6689929.051,Vantaa
39,Ylänköpuisto,Höglandsparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{9D7D00FD-B8F3-4D83-8BA0-A391DCFB895D},390076.7074,6688878.757,Vantaa
40,Asteripuisto,Asterparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{5EE425A4-7E0C-48FE-9105-35DF1A000A66},391072.6842,6687809.641,Vantaa
41,Koivupolunmetsikkö,Björkstigsdungen,1, ,anne.suomaa,4/21/2016 0:00,rakennettu luonnonkohde,Viheralue,8/26/2015 0:00,433,ritva.myyrylainen,{B5B3FA6D-6E68-4385-A039-A3959346BB2E},391952.7713,6688805.307,Vantaa
42,Pikkujärvenniitty,Lillträskängen,1, , ,,luonnollinen luonnonkohde,puisto,11/12/2015 0:00,433,ritva.myyrylainen,{FA31053C-4086-42E7-BD2F-8DD67B7A58AE},378000.0856,6684289.635,Vantaa
43,Kierremetsikkö,Skruvgängsdungen,1, ,ritva.myyrylainen,9/17/2013 0:00,rakennettu luonnonkohde,puisto,9/17/2013 0:00,433,ritva.myyrylainen,{AAA98889-7163-481D-AFB9-D14DCBABD02E},379143.3239,6682201.215,Vantaa
44,Hohtimet,Hovtången,1, , ,,rakennettu luonnonkohde,puisto,2/26/2014 0:00,433,eeva.seppanen,{35839677-8742-4E6F-A20E-476877A05E3E},379163.7869,6682576.742,Vantaa
45,Kotiniemi,Kotiniemi,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{51462732-1248-4834-9C96-7B3DD3BE7D08},382511.1611,6693898.459,Vantaa
46,Ahtimäet,Ahtimäet,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,luonnollinen luonnonkohde,Luontoon liityvät nimet,,433, ,{26BDB88A-0097-4191-89F2-AFF812F2439A},377171.8536,6690526.655,Vantaa
47,Lejleberget,Lejleberget,1, , ,,luonnollinen luonnonkohde,Luontoon liityvät nimet,4/2/2014 0:00,433,eeva.seppanen,{90FF2FBD-F5DB-4D80-8ECC-02AF4F34C737},390847.3477,6688981.496,Vantaa
48,Askinpuistikko,Askparken,1, ,ritva.myyrylainen,6/16/2015 0:00,rakennettu luonnonkohde,puisto,11/16/1999 0:00,433, ,{754E8B86-83C6-4E51-A159-C0F1FC14B6C1},377277.9344,6684272.024,Vantaa
49,Vestala,Vestala,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{653C8ED6-C348-4A99-9031-05F9F75BD766},382118.6265,6697595.374,Vantaa
50,Kievarinpuisto,Gästgivarparken,1, ,ritva.myyrylainen,2/14/2017 0:00,rakennettu luonnonkohde,puisto,4/12/2016 0:00,433,ritva.myyrylainen,{FB984F33-1926-4892-BEBC-69754C98DC1E},393645.1598,6685101.748,Vantaa
51,Grips,Grips,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{5F3E0591-DBB4-4F66-B022-216D84BB498A},378889.4161,6691988.634,Vantaa
52,Raappavuorenpuisto,Skrapbergsparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{1A397F32-BD3A-4C62-A25D-4E9A49A6A3A4},380324.6394,6683360.097,Vantaa
53,Winterinmäki,Wintersbacken,1, ,arsi.juote,6/21/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{79297A0B-891B-4B22-A46A-63079A32C7A3},392452.2769,6686055.461,Vantaa
54,Varisto,Varistorna,1, ,tarja.itatalo@vantaa.fi,1/26/2021 0:00,kaupunginosan nimi,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",11/19/1999 0:00,433, ,{4C70A84F-65F8-4A99-A7F4-734A78C3B3EE},379965.1997,6684270.216,Vantaa
55,Tahkonkampi,Slipstensvävet,1, ,ritva.myyrylainen,9/26/2013 0:00,rakennettu luonnonkohde,Viheralue,9/26/2013 0:00,433,ritva.myyrylainen,{AD38A2D0-F257-46E1-AF95-D5A08F5E7377},384633.7673,6686710.604,Vantaa
56,Kannelpuisto,Kanteleparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,4/26/2007 0:00,433, ,{09C578C6-A341-4DD0-AF35-DCC0D740E22E},396077.0142,6685521.133,Vantaa
57,Pekanpuisto,Petersparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{84C33663-5692-4351-89D1-CB9869B471FA},394196.1435,6689527.3,Vantaa
58,Korsonkaanaa,Korsokanan,1, , ,,rakennettu luonnonkohde,Viheralue,4/2/2015 0:00,433,ritva.myyrylainen,{1BEC649F-E6C6-43B4-8382-07535F6A0F1A},393655.6791,6691497.914,Vantaa
59,Veturipuisto,Lokparken,4, ,sari.simonen@vantaa.fi,4/23/2019 0:00,rakennettu luonnonkohde,puisto,1/31/2000 0:00,433, ,{BEBB98AC-36A2-43DF-AB8F-DC675E706EA6},391816.5209,6686138.753,Vantaa
60,Isokappale,Storstycket,1, ,ritva.myyrylainen,1/26/2016 0:00,rakennettu luonnonkohde,puisto,1/30/2014 0:00,433,eeva.seppanen,{4097BA4B-F281-43DE-87B2-5C168A5E0808},394293.5813,6684371.814,Vantaa
61,Hillilä,Hillilä,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{173CE913-86F2-4E51-83E5-DC48EDC84312},396829.273,6692814.619,Vantaa
62,Nöje,Nöje,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",1/26/2000 0:00,433, ,{7585B148-BBAA-4B86-BC01-DA7B7CB75693},396277.1478,6688678.068,Vantaa
63,Atlaspuisto,Atlasparken,1, ,mika.rantanen,6/8/2016 0:00,rakennettu luonnonkohde,puisto,1/31/2000 0:00,433, ,{D2D60C36-420A-47CF-BB2D-A54B196A1589},390123.5003,6689471.693,Vantaa
64,Muskettipuisto,Muskötparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,1/31/2005 0:00,433, ,{B0F5A77C-3D3F-48BC-976B-B2FD8D6BF00C},381688.4661,6690309.944,Vantaa
65,Teeripuisto,Orrparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{B2BFB474-7C68-4E8E-BEED-9CFBFBDAC690},393455.8607,6692100.27,Vantaa
66,Metsänhenki,Skogslyckan,1, ,mika.rantanen,10/23/2012 0:00,rakennettu luonnonkohde,puisto,11/19/2008 0:00,433, ,{BA3FE85D-50D7-446E-8F2E-9B7D8185522B},392042.812,6689047.434,Vantaa
67,Päiväkummunpuisto,Lövkullaparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{1B7A3C7E-7764-4AF4-9254-1B9EC42275A3},395032.97,6688685.707,Vantaa
68,Rönnkulla,Rönnkulla,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{6F5AA0F7-1D42-4391-8311-1C6EC183DE9D},397004.3444,6681099.639,Vantaa
69,Hanhiniitty,Gåsängen,1, , ,,rakennettu luonnonkohde,urheilualue (kentät),1/5/2018 0:00,433,ritva.myyrylainen,{E18029D0-60E3-41E3-BD9B-65DA83F2E158},392465.9676,6686800.148,Vantaa
70,Krakanpuisto,Skrakaparken,1, ,eija.nygard,10/12/2016 0:00,rakennettu luonnonkohde,Katu,,433, ,{B5589515-B1F5-4ECC-BAD5-839CA991263D},386028.1006,6685358.959,Vantaa
71,Karhumäenpuisto,Karhumäkiparken,1, ,ritva.myyrylainen@vantaa.fi,1/2/2020 0:00,rakennettu luonnonkohde,puisto,4/20/2006 0:00,433, ,{C9332216-FB34-4CFA-A113-DC08C4DFB5CA},387525.8066,6687098.42,Vantaa
72,Storpetas,Storpetas,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{5928BD68-EABE-41B9-89C7-8833C38ACB77},394618.4067,6687802.935,Vantaa
73,Tiesillanpuisto,Vägbroparken,1, , ,,rakennettu luonnonkohde,puisto,6/26/2017 0:00,433,ritva.myyrylainen,{B78F3C10-1F99-4C9C-A07F-CFD90700133A},383103.3324,6688158.673,Vantaa
74,Rautkallio,Rautberget,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,Puisto,,433, ,{6414149F-D6D8-4048-8D69-71EE7D52EC35},393284.9864,6688763.2,Vantaa
75,Kahluuniitty,Vadängen,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,11/16/1999 0:00,433, ,{C142947F-0F71-42BB-9CBA-A842716768C9},383184.1862,6682994.647,Vantaa
76,Palmusalo,Palmusalo,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{F549BD81-8AE1-4E4C-B6FF-407BD0589EFF},381342.6555,6694878.446,Vantaa
77,Pakkala,Backas,1, ,tarja.itatalo@vantaa.fi,1/26/2021 0:00,kaupunginosan nimi,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{2DB3FE16-A32C-4DDE-9249-E85368F233F2},386990.0842,6684923.177,Vantaa
78,Metsikköpuisto,Skogsdungsparken,1, , ,,rakennettu luonnonkohde,Puisto,1/4/2018 0:00,433,ritva.myyrylainen,{500C5D0F-066B-451C-8F67-9B67FAE633E1},381362.8433,6684643.974,Vantaa
79,Siltaniitty,Broängen,1, , ,,rakennettu luonnonkohde,puisto,12/19/2017 0:00,433,ritva.myyrylainen,{3198F223-0D0F-40AA-8A08-E359F8CE59EB},394765.2925,6685351.113,Vantaa
80,Malmimäenpuisto,Malmbackaparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{11D2DE53-3DBD-4E81-B75B-77EFD4FB92EB},391689.3644,6687417.276,Vantaa
81,Mistelipuisto,Mistelparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{75A6DEF2-BA34-4A00-B3A8-50C92BF89D2B},389613.3419,6688168.485,Vantaa
82,Leirimäki,Lägerbacken,1, ,eeva.seppanen,12/11/2012 0:00,rakennettu luonnonkohde,puisto,,433, ,{7611548B-DB5A-4FB3-BA61-9EC607F71EF5},380959.1748,6682045.073,Vantaa
83,Laajavuori,Bredberget,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,11/16/1999 0:00,433, ,{E7B034B4-780C-49B4-8876-11EA17092A40},380878.9509,6684367.059,Vantaa
84,Kärkipuisto,Spjutspetsparken,1, ,eeva.seppanen,1/2/2014 0:00,rakennettu luonnonkohde,puisto,6/21/2000 0:00,433, ,{9F8157EB-9A7D-4CF6-9526-2DB4B2F81AFC},383904.4304,6686271.156,Vantaa
85,Ulko-Hannula,Ulko-Hannula,4, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{FE572D94-6C17-487A-9604-F139D7B42286},378312.263,6692530.563,Vantaa
86,Myrbacka, ,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{8086E85C-BC26-44B1-98CE-96BFD22CFF03},396843.0416,6683851.003,Vantaa
87,Härkävaljakonpuisto,Oxspannsparken,1, ,ritva.myyrylainen@vantaa.fi,9/17/2020 0:00,rakennettu luonnonkohde,Puisto,1/5/2018 0:00,433,ritva.myyrylainen,{55225315-E3B9-4FC0-88F8-A4D5AEAFD4AB},391621.1624,6684887.864,Vantaa
88,Rälssipuisto,Frälseparken,1, ,ritva.myyrylainen,5/16/2017 0:00,rakennettu luonnonkohde,puisto,,433, ,{9D94AD17-B79C-4324-9207-A9D60D649614},387825.9652,6685960.31,Vantaa
89,Kaivoksela,Gruvsta,1, ,tarja.itatalo@vantaa.fi,1/26/2021 0:00,kaupunginosan nimi,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",11/19/1999 0:00,433, ,{BFE18216-ACB4-428E-8F9A-1A288BC9E5D3},382609.4009,6682825.241,Vantaa
90,Kynttiläpuisto,Ljusparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,6/21/2000 0:00,433, ,{8911BAE4-71F1-473D-AB99-0F5FBB6553A5},382244.049,6684247.779,Vantaa
91,Tyttökumpu,Tyttökumpu,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,luonnollinen luonnonkohde,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",11/16/1999 0:00,433, ,{A5FDC039-8362-4971-BBC0-7D452FD98600},380628.6495,6685572.158,Vantaa
92,Ruukinranta,Brukstranden,1, ,ritva.myyrylainen,11/21/2014 0:00,rakennettu luonnonkohde,puisto,,433, ,{851BE1F3-C5F6-44DE-A285-25B184C798AD},382045.1228,6685848.76,Vantaa
93,Yhteismaa,Allmänningen,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{73A863BA-9E74-40AA-B157-11679778932D},378089.1558,6683172.816,Vantaa
94,Rintapuisto,Släntparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,7/22/2005 0:00,433, ,{7B1811AE-AB2E-4B55-9464-CAA70327B84D},389724.2261,6690155.012,Vantaa
95,Ruutulipunpuisto,Målflaggsparken.,1, , ,,rakennettu luonnonkohde,Puisto,1/4/2018 0:00,433,ritva.myyrylainen,{3EEBF008-0A38-4DCA-8F13-8D7CA9612320},379927.7955,6689114.642,Vantaa
96,Nybackanpuisto,Nybackaparken,1, , ,,rakennettu luonnonkohde,puisto,12/9/2016 0:00,433,ritva.myyrylainen,{160C501A-1C97-41BD-A9A9-00C2C2260C9F},382640.0496,6685221.197,Vantaa
97,Tussinkoskenpuisto,Tussinkoskiparken,1, ,ritva.myyrylainen,3/16/2016 0:00,rakennettu luonnonkohde,puisto,,433, ,{A264CF90-B102-4865-BA57-B2CA70C53169},393435.5966,6694110.172,Vantaa
98,Hakakorpi,Hagkärret,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{42458973-C6AB-433E-86B5-88EE126F4260},383847.1845,6685339.52,Vantaa
99,Löydöspuisto,Fornfyndsparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{A2A7E15E-9546-4D0F-BD9F-719F09B9AF6D},381687.8192,6682347.874,Vantaa
100,Tutkijanpelto,Forskaråkern,1, ,elisa.schafer@vantaa.fi,11/26/2019 0:00,rakennettu luonnonkohde,"erityisal. (hautausmaat, puutarhat)",2/19/2018 0:00,433,ritva.myyrylainen,{2D44126C-3283-412E-B8D6-A75771EF82AB},392710.0789,6685457.013,Vantaa
101,Byända,Byända,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{DF4F6C90-ECEE-4635-B4AC-992995547204},396624.6805,6688542.965,Vantaa
102,Gustafsberg,Gustafsberg,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{6093ECAB-A934-4584-9226-719F9EC13BB8},393587.5885,6687882.543,Vantaa
103,Linnan kartano,Linna gård,1, ,ritva.myyrylainen,9/22/2017 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{F57FCDB5-60DD-49A4-B1CD-6934BBABAF2D},381106.2153,6691243.061,Vantaa
104,Rajatorpanpuisto,Råtorpsparken,1, , ,,rakennettu luonnonkohde,puisto,9/13/2013 0:00,433,ritva.myyrylainen,{A7DC8F2B-5985-4D99-93EA-BE2E9A90115A},379952.843,6682014.286,Vantaa
105,Ravurinpuisto,Travarparken,1, ,mika.rantanen,12/7/2015 0:00,rakennettu luonnonkohde,puisto,,433, ,{ADACF5A1-1043-4A2A-A4A3-11801084F0C0},395533.0687,6683924.542,Vantaa
106,Vaunukallio,Vagnberget,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,3/15/2005 0:00,433, ,{B04D26AF-33B5-450F-9153-1D8D42C18212},395655.971,6684397.352,Vantaa
107,Laajaniitty,Bredängen,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,11/16/1999 0:00,433, ,{129A909A-7BAB-480C-AD6D-FCE6EB87742B},381404.0354,6684559.627,Vantaa
108,Nissbackan kartano,Nissbacka gård,1, ,Konversio,12/1/2011 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",11/17/1999 0:00,433, ,{2700CD49-2C5C-4A59-9E76-90E34824D735},396405.7717,6684249.796,Vantaa
109,Tarinapuisto,Mytparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,1/8/2010 0:00,433, ,{C702CDD1-F6CA-4970-80CB-980FB2C91125},390866.0696,6690126.767,Vantaa
110,Kyläkaski,Byasveden,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{FBEF5F61-22AC-4B36-BC1A-CDEE3316CB51},396330.2535,6684775.544,Vantaa
111,Nissaksenpuisto,Nissasparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{F932C472-501A-4CA1-A9A4-76A47F0B5377},395745.9786,6684513.461,Vantaa
112,Nokiniitty,Sotängen,1, , ,,rakennettu luonnonkohde,puisto,7/29/2014 0:00,433,eeva.seppanen,{8CE154FF-69AB-4433-8339-EF7E790D64D3},395435.1343,6688371.101,Vantaa
113,Ulrikanpuisto,Ulrikaparken,1, , ,,rakennettu luonnonkohde,puisto,8/17/2017 0:00,433,ritva.myyrylainen,{C29147DA-A334-49C7-A0D7-1AAAFB71E1C1},393205.16,6689922.047,Vantaa
