Nimi_suom,Nimi_ruots,Kunta
Tolkinkylänkuja,Tolkbygränden,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Turbiinitie,Turbinvägen,Vantaa
Valkoisenlähteentie,Vitbäcksvägen,Vantaa
Valkoisenlähteentie,0,Vantaa
Valkoisenlähteentie,Vitbäcksvägen,Vantaa
Valkopolku,Vitstigen,Vantaa
Valkopolku,0,Vantaa
Valkopolku,Vitstigen,Vantaa
Vanha Porvoontie,Gamla Borgåvägen,Vantaa
VANHA PORVOONTIE,GAMLA BORGÅVÄGEN,Vantaa
Väritehtaankatu,Färgfabriksgatan,Vantaa
Väritehtaankatu,Färgfabriksgan,Vantaa
Vaskivuorentie,Kopparbergsvägen,Vantaa
Vaskivuorentie,Kopparbergsvägen,Vantaa
Vehkapolku,Missnestigen,Vantaa
Vehkapolku,Missnestigen,Vantaa
Vihertie,Grönvägen,Vantaa
Vihertie,Grönvägen,Vantaa
Viita-alhon oja,Vittalsbäcken,Vantaa
Viita-alhon oja,Vittalsbäcken,Vantaa
Virnakuja,Vickergränden,Vantaa
VIRNAKUJA,VICKERGRÄNDEN,Vantaa
Virnatie,Vickervägen,Vantaa
VIRNATIE,VICKERVÄGEN,Vantaa
VIRNATIE,VICKERVÄGEN,Vantaa
Voimamäki,Kraftkullan,Vantaa
Voimamäki,Kraftkullen,Vantaa
Aallottarentie,Aallotarvägen,Vantaa
Aamuauringonpolku,Morgonsolsstigen,Vantaa
Aamupuisto,Morgonparken,Vantaa
Aamutie,Morgonvägen,Vantaa
Aaponkuja,Aapogränden,Vantaa
Aapraminkaari,Abramsbågen,Vantaa
Aapraminpolku,Abramsstigen,Vantaa
Aapraminpuisto,Abramsparken,Vantaa
Aapramintie,Abramsvägen,Vantaa
Aarnenkuja,Aarnegränden,Vantaa
Aateliaukio,Adelsplatsen,Vantaa
Aatelikuja,Adelsgränden,Vantaa
Aatelitie,Adelsvägen,Vantaa
Åbacka,Åbacka,Vantaa
Abiturientin aukio,Abiturients platsen,Vantaa
Abrams,Abrams,Vantaa
Åby,Åby,Vantaa
Åbyn yritysalue,Åby företagsområde,Vantaa
Åbynkuja,Åbygränden,Vantaa
Åbynranta,Åbystranden,Vantaa
Åbyntie,Åbyvägen,Vantaa
Adam Walliuksen katu,Adam Wallius gata,Vantaa
Adelheidinpuisto,Adelheidsparken,Vantaa
Aerola,Aerola,Vantaa
Aerolankaari,Aerolabågen,Vantaa
Aerolankenttä,Aerolaplanen,Vantaa
Aeronportti,Aeroporten,Vantaa
Äeskuja,Harvgränden,Vantaa
Äespolku,Harvstigen,Vantaa
Ahdekuja,Sluttningsgränden,Vantaa
Ahdetie,Sluttningsvägen,Vantaa
Ahdinkuja,Ahtigränden,Vantaa
Ahjokuja,Ässjegränden,Vantaa
Ahjoniitty,Ässjeängen,Vantaa
Ahlkulla,Ahlkulla,Vantaa
Ahmakuja,Järvgränden,Vantaa
Ahmapolku,Järvstigen,Vantaa
Ahmapuisto,Järvparken,Vantaa
Ahmatie,Järvvägen,Vantaa
Ahokuja,Svedjegränden,Vantaa
Ahola,Ahola,Vantaa
Aholantie,Aholavägen,Vantaa
Ahoniitunoja,Ahoniittubäcken,Vantaa
Ahoniityntie,Svedängsvägen,Vantaa
Ahopolku,Svedjestigen,Vantaa
Ahotie,Svedjevägen,Vantaa
Ahtimäentie,Ahtibackavägen,Vantaa
Ahtimäet,Ahtimäet,Vantaa
Ahvenkuja,Abborrgränden,Vantaa
Ahvenpuisto,Abborrparken,Vantaa
Ahventie,Abborrvägen,Vantaa
Äijänkallio,Gubbeberget,Vantaa
Äijänsuo,Gubbmossen,Vantaa
Ailakkipolku,Blärastigen,Vantaa
Ailakkipuisto,Bläraparken,Vantaa
Ailakkitie,Bläravägen,Vantaa
Äimäkuja,Säcknålsgränden,Vantaa
Aimonkuja,Aimogränden,Vantaa
Ainonkuja,Ainogränden,Vantaa
Ainontie,Ainovägen,Vantaa
Aisakellonkuja,Slädklocksgränden,Vantaa
Aisakellonpolku,Slädklocksstigen,Vantaa
Aisakellontie,Slädklocksvägen,Vantaa
Aisakuja,Skakelgränden,Vantaa
Aisaparintie,Parhästvägen,Vantaa
Aisatie,Skalmvägen,Vantaa
Aitakuja,Gärdesgränden,Vantaa
Aitanavain,Bodnyckeln,Vantaa
Aitanporras,Bodstegen,Vantaa
Aitapuisto,Gärdesparken,Vantaa
Aittapuisto,Bodparken,Vantaa
Aittarivi,Bodlängan,Vantaa
Ajolenkki,Körlänken,Vantaa
Ajomiehenkuja,Körkarlens gränd,Vantaa
Ajomiehenpolku,Körkarlens stig,Vantaa
Ajomiehentie,Körkarlens väg,Vantaa
Ajoportti,Inkörsporten,Vantaa
Ajopuunpuisto,Skridstångsparken,Vantaa
Akaattikuja,Agatgränden,Vantaa
Akanapolku,Agnstigen,Vantaa
Akatemianpuisto,Akademiparken,Vantaa
Akatemiantaival,Akademistråten,Vantaa
Akatemiantie,Akademievägen,Vantaa
Åkstallet,Åkstallet,Vantaa
Akvamariinikuja,Akvamaringränden,Vantaa
Alakoukku,Nedre kroken ,Vantaa
Alankotie,Låglandsvägen,Vantaa
Albert Petreliuksen katu,Albert Petrelius gata,Vantaa
Alhokuja,Dalgångsgränden,Vantaa
Alhopuisto,Dalgångsparken,Vantaa
Alikerava,Alikerava,Vantaa
Ali-Keravan tie,Ytterkervovägen,Vantaa
Alkärrsåkern,Alkärrsåkern,Vantaa
Allitie,Alfågelvägen,Vantaa
Alppitie,Alpvägen,Vantaa
Altainkuja,Altaigränden,Vantaa
Altainpolku,Altaistigen,Vantaa
Altaintie,Altaivägen,Vantaa
Alumiinikuja,Aluminiumgränden,Vantaa
Ämmäntaina,0,Vantaa
Ampiaisenkuja,Getingsgränden,Vantaa
Ampiaisentie,Getingsvägen,Vantaa
Andersinkatu,Andersgatan,Vantaa
Andersinoja,Andersbäcken,Vantaa
Angervokuja,Spireagränden,Vantaa
Angervopolku,Spireastigen,Vantaa
Angervotanhua,Spireatunet,Vantaa
Angervotie,Spireavägen,Vantaa
Aniskuja,Anisgränden,Vantaa
Anispuisto,Anisparken,Vantaa
Ankeriaantie,Ålvägen,Vantaa
Ankkalammet,Ankdammarna,Vantaa
Ankkapuisto,Ankparken,Vantaa
Annankallionpolku,Annebergsstigen,Vantaa
Annankalliontie,Annebergsvägen,Vantaa
Annefredinkatu,Annfredsgatan,Vantaa
Annefredinpolku,Annefredsstigen,Vantaa
Annentie,Annevägen,Vantaa
Ansakuja,Snargränden,Vantaa
Ansatie,Snarvägen,Vantaa
Antaksenpolku,Antasstigen,Vantaa
Antaksenpuisto,Antasparken,Vantaa
Antaksenranta,Antasstranden,Vantaa
Antaksentie,Antasvägen,Vantaa
Antennitie,Antennvägen,Vantaa
Anterontie,Anterovägen,Vantaa
Anttilankuja,Anttilagränden,Vantaa
Anttilanpuisto,Anttilaparken,Vantaa
Anttilantie,Anttilavägen,Vantaa
Anturikenttä,Sensorpalnen,Vantaa
Apajakuja,Varpgränden,Vantaa
Apilapuisto,Klöverparken,Vantaa
Apilatie,Klövervägen,Vantaa
Apollokuja,Apollogränden,Vantaa
Apotinpolku,Abbotstigen,Vantaa
Araliatie,Araliavägen,Vantaa
Arinatie,Ärilsvägen,Vantaa
Arjankuja,Arjagränden,Vantaa
Arjantie,Arjavägen,Vantaa
Armintie,Armivägen,Vantaa
Arpa-aukio,Lottplatsen,Vantaa
Arthur Nymanin puisto,Arthur Nymans park,Vantaa
Artsinpolku,Artsistigen,Vantaa
Artturintie,Arthurvägen,Vantaa
Arvo Tammisen polku,Arvo Tamminens stig,Vantaa
Asemanramppi,Stationsrampen,Vantaa
Askiminpolku,Askimstigen,Vantaa
Askinmäki,Askbacken,Vantaa
Askinpolku,Askstigen,Vantaa
Askinpuistikko,Askparken,Vantaa
Askisto,Askis,Vantaa
Askistonmetsä,Askisskogen,Vantaa
Askistonpuisto,Askisparken,Vantaa
Askistonraitti,Askisstråket,Vantaa
Askistonsilta,Askisbron,Vantaa
Askistontie,Askisvägen,Vantaa
Asola,Asola,Vantaa
Asolan Veteraanipuisto,Asola Veteranpark,Vantaa
Asolanpolku,Asolastigen,Vantaa
Asolanpuisto,Asolaparken,Vantaa
Asolantie,Asolavägen,Vantaa
Asolanväylä,Asolaleden,Vantaa
Assistentinpuisto,Assistentparken,Vantaa
Asterinkuja,Astergränden,Vantaa
Asterintie,Astervägen,Vantaa
Asteripuisto,Asterparken,Vantaa
Atlaspolku,Atlasstigen,Vantaa
Atlaspuisto,Atlasparken,Vantaa
Atlastie,Atlasvägen,Vantaa
Auerlantie,Auerlavägen,Vantaa
Auertie,Solröksvägen,Vantaa
Aulikinkuja,Aulikkigränden,Vantaa
Aulikintie,Aulikkivägen,Vantaa
Aumakuja,Vålmgränden,Vantaa
Aunentie,Agnesvägen,Vantaa
Aurakuja,Ploggränden,Vantaa
Auramontie,Auramovägen,Vantaa
Auratie,Plogvägen,Vantaa
Auringonkehrä,Solskivan,Vantaa
Auringonkierto,Solvändan,Vantaa
Aurinkokivenkuja,Solstensgränden,Vantaa
Aurinkokivenpiha,Solstensgården,Vantaa
Aurinkomäentie,Solbergsvägen,Vantaa
Aurinkomäki,Solberget,Vantaa
Aurinkotie,Solvägen,Vantaa
Aurtuakatu,Örtugsgatan,Vantaa
Aurtuapuisto,Örtugsparken,Vantaa
Aurtuaraitti,Örtugsstråket,Vantaa
Autiomäki,Ödesbacken,Vantaa
Autioniitty,Ödesängen,Vantaa
Avainpolku,Nyckelstigen,Vantaa
Åvalla,Åvalla,Vantaa
Aventuriinikuja,Aventuringränden,Vantaa
Aventuriinipiha,Aventuringården,Vantaa
Avia-aukio,Aviaplatsen,Vantaa
Aviapoliksen asema,Aviapolis station,Vantaa
Aviapolis,Aviapolis,Vantaa
Äyrikuja,Öregränden,Vantaa
Äyritie,Örevägen,Vantaa
Backaksenoja,Backasbäcken,Vantaa
Backaksenpolku,Backasstigen,Vantaa
Backas,0,Vantaa
Bäckbynpuisto,Bäckbyparken,Vantaa
Bäckbyntie,Bäckbyvägen,Vantaa
Bäckesåkrarna,Bäckesåkrarna,Vantaa
Bergbo,Bergbo,Vantaa
Bergkulla,Bergkulla,Vantaa
Bergkullantie,Bergkullavägen,Vantaa
Bergsbron,Bergsbron,Vantaa
Bertaksenkuja,Bertasgränden,Vantaa
Bertaksentie,Bertasvägen,Vantaa
Bertas,Bertas,Vantaa
Beryllikatu,Beryllgatan,Vantaa
Berylliportti,Beryllporten,Vantaa
Beryllipuisto,Beryllparken,Vantaa
Birkanpolku,Birkastigen,Vantaa
Bisa,Bisa,Vantaa
Bisajärventie,Bisaträskvägen,Vantaa
Bisajärvi,Bisaträsk,Vantaa
Bisaoja,Bisabäcken,Vantaa
Björkbacka,Björkbacka,Vantaa
Björkvik,Björkvik,Vantaa
Blylodinpuisto,Blylodsparken,Vantaa
Boismaninpuisto,Boismanparken,Vantaa
Bökarsinoja,Bökarsbacken,Vantaa
Bölenpolku,Bölestigen,Vantaa
Bölenraitti,Bölestråket,Vantaa
Borgbyntie,Borgbyvägen,Vantaa
Boxböle,Boxböle,Vantaa
Brändoninoja,Brändonbäcken,Vantaa
Brandtsinmäet,Brandtsbackarna,Vantaa
Brännberget,Brännberget,Vantaa
Brännstakanniitty,Brännstakaängen,Vantaa
Bräntilänaukio,Bräntiläplatsen,Vantaa
Bräntilänpolku,Bräntilästigen,Vantaa
Bredmalm,Bredmalm,Vantaa
Brudbrinken,Brudbrinken,Vantaa
Buldersinpuisto,Buldersparken,Vantaa
Buldersinviita,Buldersdungen,Vantaa
Byända,Byända,Vantaa
Bykstugan,Bykstugan,Vantaa
Caravellentie,Caravellevägen,Vantaa
Carl Albert Edelfeltin aukio,Carl Albert Edelfelts plats,Vantaa
Cessnanpolku,Cessnastigen,Vantaa
Chopininpolku,Chopinstigen,Vantaa
Currenkuja,Curres gränd,Vantaa
Dalforsinniemi,Dalforsnäset,Vantaa
Danis,Danis,Vantaa
Degermosantie,Degermossvägen,Vantaa
Delfiiniaukio,Delfinplatsen,Vantaa
Delfiinitie,Delfinens väg,Vantaa
Diakoniasäätiö Foibe,0,Vantaa
Djupbäck,Djupbäck,Vantaa
Drakeninkuja,Drakensgränden,Vantaa
Drakeninpolku,Drakensstigen,Vantaa
Ebbanpolku,Ebbastigen,Vantaa
Eddapolku,Eddastigen,Vantaa
Edvard Blomqvistin polku,Edvard Blomqvists stig,Vantaa
Eero Tolamon polku,Eero Tolamos stig,Vantaa
Eevankuja,Evagränden,Vantaa
Eevantie,Evavägen,Vantaa
Ehrnroothinpuisto,Ehrnroothsparken,Vantaa
Eilanpuisto,Eilaparken,Vantaa
Eilantie,Eilavägen,Vantaa
Eino Sirenin katu,Eino Sirens gata,Vantaa
Elannonpuisto,Elantoparken,Vantaa
Elannontie,Elantovägen,Vantaa
Elinankuja,Elinagränden,Vantaa
Elinbackanpolku,Elinbackastigen,Vantaa
Ellinpolku,Ellistigen,Vantaa
Elmon urheilupuisto,Elmo idrottspark,Vantaa
Elmonaukio,Elmoplatsen,Vantaa
Elmonkuja,Elmogränden,Vantaa
Elmonpolku,Elmostigen,Vantaa
Elmontie,Elmovägen,Vantaa
Elopelto 1,Sädesåkern 1,Vantaa
Elopelto 2,Sädesåkern 2,Vantaa
Elopolku,Sädstigen,Vantaa
Elsantie,Elsavägen,Vantaa
Emännänkuja,Husmorsgränden,Vantaa
Emeleuksenkuja,Emeleusgränden,Vantaa
Emiliantie,Emiliavägen,Vantaa
Emosiilinkuja,Honigelkottsgränden,Vantaa
Ensimmäinensavu,Första röken,Vantaa
Ensimmäinentie,Första vägen,Vantaa
Epinkoskenpuisto,Ebbforsparken,Vantaa
Epinkoskentie,Ebbforsvägen,Vantaa
Eppilänkuja,Ebbilägränden,Vantaa
Eppilänpuisto,Ebbiläparken,Vantaa
Eppiläntie,Ebbilävägen,Vantaa
Eräkuja,Jaktgränden,Vantaa
Eräpolku,Jaktstigen,Vantaa
Erätorpantie,Jaktstuguvägen,Vantaa
Eric Von Rettigin puisto,Eric Von Rettigs park,Vantaa
Erikaksenpolku,Erikasstigen,Vantaa
Erikaksensillat,Erikasbroarna,Vantaa
Erikas,Erikas,Vantaa
Erkintie,Eriksvägen,Vantaa
Erkki Rantalan niitty,Erkki Rantalas äng,Vantaa
Erkkiläntie,Erkkilävägen,Vantaa
Esankuja,Esagränden,Vantaa
Esantie,Esavägen,Vantaa
Esikkopuistonkenttä,Gullvivsparksplanen,Vantaa
Esikkotie,Gullvivsvägen,Vantaa
Eskilsbackanpelto,Eskilsbackaåkern,Vantaa
Eskonkuja,Eskogränden,Vantaa
Eskonpuisto,Eskoparken,Vantaa
Essonpuisto,Essoparken,Vantaa
Estepolku,Hinderstigen,Vantaa
Estepuisto,Hinderparken,Vantaa
Ester Koskelaisen puisto,Ester Koskelainens park,Vantaa
Esterinkuja,Estergränden,Vantaa
Estetie,Hindervägen,Vantaa
Etanakuja,Snigelgränden,Vantaa
Etanansarvi,Snigelsprötet,Vantaa
Etanapuisto,Snigelparken,Vantaa
Eteläinen huoltotie,Södra servicevägen,Vantaa
Eteläinen Nikinmäentie,Södra Nissbackavägen,Vantaa
Eteläinen Rastitie,Södra Rastvägen,Vantaa
Eteläkaari,Södersvängen,Vantaa
Etnankuja,Etnagränden,Vantaa
Euroopanaukio,Europaplatsen,Vantaa
Eväspuisto,Vägkostparken,Vantaa
Evästie,Matsäcksvägen,Vantaa
Everstintie,Överstevägen,Vantaa
Fågelberg,Fågelberg,Vantaa
Fågelberginoja,Fågelbergsbäcken ,Vantaa
Fallbackankaari,Fallbackabågen,Vantaa
Fallbackanpuisto,Fallbackaparken,Vantaa
Fallbackantie,Fallbackavägen,Vantaa
Fallinpellonoja,Fallåkersbäcken,Vantaa
Fårkask,Fårkask,Vantaa
Fasaanipolku,Fasanstigen,Vantaa
Fasaanipuisto,Fasanparken,Vantaa
Fasaanirinne,Fasanbrinken,Vantaa
Fasaanitie,Fasanvägen,Vantaa
Fastbölentie,Fastbölevägen,Vantaa
Fazerinkuja,Fazersgränden,Vantaa
FILMIPUISTO,FILMPARKEN,Vantaa
Firanoja,Firabäcken,Vantaa
Fjälldalinreuna,Fjälldalskanten,Vantaa
Flatberget,Flatberget,Vantaa
Foorkaskintie,Fårkaskvägen,Vantaa
Forsbacka,Forsbacka,Vantaa
Forsbackankuja,Forsbackagränden,Vantaa
Forsbackantaival,Forsbackastråten,Vantaa
Forsbackantie,Forsbackavägen,Vantaa
Frasanoja,Frasabäcken,Vantaa
Fridhem,Fridhem,Vantaa
Fridkulla,Fridkulla,Vantaa
Friimetsä,Friskogen,Vantaa
Friimetsänniitty,Friskogsängen,Vantaa
Friimetsänrinne,Friskogsbrinken,Vantaa
Friimetsäntie,Friskogsvägen,Vantaa
Furumosanoja,Furumossbäcken,Vantaa
Furumossen,Furumossen,Vantaa
Gammelkulla,Gammelkulla,Vantaa
Gammelkullankuja,Gammelkullagränden,Vantaa
Gammelkullantanhua,Gammelkullatunet,Vantaa
Geodeetinmetsikkö,Geodetdungen,Vantaa
Georg ja Anna Collinin puisto,Georg och Anna Collins park,Vantaa
Germanianpolku,Germaniastigen,Vantaa
Getbacka,Getbacka,Vantaa
Getbackantie,Getbackavägen,Vantaa
Girsbäckintontti,Girsbäckstomten,Vantaa
Gjutars,Gjutars,Vantaa
Granbacka,Granbacka,Vantaa
Granen,Granen,Vantaa
Graniittikuja,Granitgränden,Vantaa
Grankärr,Grankärr,Vantaa
Grankulla,Grankulla,Vantaa
Grips,Grips,Vantaa
Grönbackanoja,Grönbackabäcken,Vantaa
Grönbergin raitti,Grönbergsstråket,Vantaa
Grönberginkulku,Grönbergsgången,Vantaa
Grönberginpuisto,Grönbergsparken,Vantaa
Grönkulla,Gönkulla,Vantaa
Grönkullan Tila,0,Vantaa
Grotenfeltinpolku,Grotenfeltsstigen,Vantaa
Grotens,Grotens,Vantaa
Gula huset,Gula huset,Vantaa
Gumböle träsk,Gumböle träsk,Vantaa
Gumbölenjärvenoja,Gumböleträskbäcken,Vantaa
Guss,Guss,Vantaa
Gustafsberg,Gustafsberg,Vantaa
Haahkakuja,Ejdergränden,Vantaa
Haanpää,Hagändan,Vantaa
Haapakuja,Aspgränden,Vantaa
