index,Nimi,Namn,Kunta
115,MARKKATIE,MARKVÄGEN,Vantaa
116,Martinlaaksontie,Mårtensdalsvägen,Vantaa
117,Martinlaaksontie,Mårtensdalsvägen,Vantaa
118,Martinlaaksontie,Mårtensdalsvägen,Vantaa
119,Metsätie,Skogsvägen,Vantaa
120,Metsätie,Skogsvägen,Vantaa
121,Muonamiehenpolku,Statarstigen,Vantaa
122,MUONAMIEHENPOLKU,STATARSTIGEN,Vantaa
123,Murattipuisto,Murgrönsparken,Vantaa
124,Murattipuisto,Murgrönsparken,Vantaa
125,Myyrmäenraitti,Myrbackaleden,Vantaa
126,Myyrmäenraitti,Myrbackaleden,Vantaa
127,Niittytie,Ängsvägen,Vantaa
128,Niittytie,Ängsvägen,Vantaa
129,Niittytie,Ängsvägen,Vantaa
130,ONNENKIVENPUISTO,LYCKOSTENSPARKEN,Vantaa
131,ONNENKIVENPUISTO,LYCKOSTENSPARKEN,Vantaa
132,Onnenkivenpuisto,Lyckostensparken,Vantaa
133,Onnenkivenpuisto,Lyckostensparken,Vantaa
134,Onnenkivenrinne,Lyckostensbrinke,Vantaa
135,Onnenkivenrinne,Lyckostensbrinken,Vantaa
136,Päivänkakkarantie,Prästkragsvägen,Vantaa
137,Päivänkakkarantie,Prästkragsvägen,Vantaa
138,Pikku-Keimolan polku,Lilla Käinbystigen,Vantaa
139,Pikku-Keimolan Polku,Lilla Käinbystigen,Vantaa
140,Pohjoinen Nikinmäentie,Norra Nissbackavägen,Vantaa
141,POHJOINEN NIKINMÄENTIE,NORRA NISSBACKAVÄGEN,Vantaa
142,Punapolku,Rödstigen,Vantaa
143,Punapolku,Rödstigen,Vantaa
144,Puutarhatie,Trädgårdsvägen,Vantaa
145,Puutarhatie,Trädgårdsvägen,Vantaa
146,PYTINOJANKUJA,PYTTISBÄCKSGRÄNDEN,Vantaa
147,Pytinojankuja,Pyttisbäcksgränden,Vantaa
148,Raappavuorenpolku,Skrapbergsstigen,Vantaa
149,Raappavuorenpolku,Skrapbergsstigen,Vantaa
150,Raappavuorenrinne,Skrapbergsbrinken,Vantaa
151,Raappavuorenrinne,Skrapbergsbrinken,Vantaa
152,Ratakuja,Bangränden,Vantaa
153,RATAKUJA,BANGRÄNDEN,Vantaa
154,Ratatie,Banvägen,Vantaa
155,RATATIE,BANVÄGEN,Vantaa
156,Rivieranraitio,Rivieraspåren,Vantaa
157,Rivieranraitio,Rivieraspåren,Vantaa
158,ROBERT HUBERIN TIE,ROBERT HUBERT VÄGEN,Vantaa
159,ROBERT HUBERIN TIE,ROBERT HUBERT VÄGEN,Vantaa
160,Robert Huberin tie,Robert Hubers väg,Vantaa
161,Sinisafiirinpolku,Blåsafirsstigen,Vantaa
162,SINISAFIIRINPOLKU,BLÅSAFIRSSTIGEN,Vantaa
163,Sinttioja,Firrbäcken,Vantaa
164,Sinttioja,Firrbäcken,Vantaa
165,Sinttioja,Firrbäcken,Vantaa
166,Slåttmossen,Slåttmossen,Vantaa
167,Slåttmossen,Slåttmossen,Vantaa
168,Slåttmossen,Slåttmossen,Vantaa
169,SPORTTILAITURI,SPORTKAJEN,Vantaa
170,Sporttilaituri,Sportkajen,Vantaa
171,Sumppukuja,Sumpgränden,Vantaa
172,Sumppukuja,Sumpgränden,Vantaa
173,Tarhakuja,Fållgränden,Vantaa
174,Tarhakuja,Gårdsgränden,Vantaa
175,Teletie,Televägen,Vantaa
176,Teletie,Televägen,Vantaa
177,Tietotie,Datavägen,Vantaa
178,Tietotie,Datavägen,Vantaa
179,Tietotie,Datavägen,Vantaa
180,Tietotie,Datavägen,Vantaa
181,Tikkurilan Asema,0,Vantaa
182,Tikkurilan asema,Dickursby station,Vantaa
183,Tikkurilan Keskuspuisto,Dickursby Centralpark,Vantaa
184,Tikkurilan keskuspuisto,0,Vantaa
185,Tikkurilantie,Dickursbyvägen,Vantaa
186,Tikkurilantie,Dickursbyvägen,Vantaa
187,Tikkurilantie,Dickursbyvägen,Vantaa
188,Tikkurilantie,Dickursbyvägen,Vantaa
189,TOLKINKYLÄNKUJA,TOLKBYGRÄNDEN,Vantaa
190,Tolkinkylänkuja,Tolkbygränden,Vantaa
191,Turbiinitie,Turbinvägen,Vantaa
192,Turbiinitie,Turbinvägen,Vantaa
193,Turbiinitie,Turbinvägen,Vantaa
194,Turbiinitie,Turbinvägen,Vantaa
195,Turbiinitie,Turbinvägen,Vantaa
196,Turbiinitie,Turbinvägen,Vantaa
197,Valkoisenlähteentie,Vitbäcksvägen,Vantaa
198,Valkoisenlähteentie,0,Vantaa
199,Valkoisenlähteentie,Vitbäcksvägen,Vantaa
200,Valkopolku,Vitstigen,Vantaa
201,Valkopolku,0,Vantaa
202,Valkopolku,Vitstigen,Vantaa
203,Vanha Porvoontie,Gamla Borgåvägen,Vantaa
204,VANHA PORVOONTIE,GAMLA BORGÅVÄGEN,Vantaa
205,Väritehtaankatu,Färgfabriksgatan,Vantaa
206,Väritehtaankatu,Färgfabriksgan,Vantaa
207,Vaskivuorentie,Kopparbergsvägen,Vantaa
208,Vaskivuorentie,Kopparbergsvägen,Vantaa
209,Vehkapolku,Missnestigen,Vantaa
210,Vehkapolku,Missnestigen,Vantaa
211,Vihertie,Grönvägen,Vantaa
212,Vihertie,Grönvägen,Vantaa
213,Viita-alhon oja,Vittalsbäcken,Vantaa
214,Viita-alhon oja,Vittalsbäcken,Vantaa
215,Virnakuja,Vickergränden,Vantaa
216,VIRNAKUJA,VICKERGRÄNDEN,Vantaa
217,Virnatie,Vickervägen,Vantaa
218,VIRNATIE,VICKERVÄGEN,Vantaa
219,VIRNATIE,VICKERVÄGEN,Vantaa
220,Voimamäki,Kraftkullan,Vantaa
221,Voimamäki,Kraftkullen,Vantaa
222,Aallottarentie,Aallotarvägen,Vantaa
223,Aamuauringonpolku,Morgonsolsstigen,Vantaa
224,Aamupuisto,Morgonparken,Vantaa
225,Aamutie,Morgonvägen,Vantaa
226,Aaponkuja,Aapogränden,Vantaa
227,Aapraminkaari,Abramsbågen,Vantaa
228,Aapraminpolku,Abramsstigen,Vantaa
229,Aapraminpuisto,Abramsparken,Vantaa
230,Aapramintie,Abramsvägen,Vantaa
231,Aarnenkuja,Aarnegränden,Vantaa
232,Aateliaukio,Adelsplatsen,Vantaa
233,Aatelikuja,Adelsgränden,Vantaa
234,Aatelitie,Adelsvägen,Vantaa
235,Åbacka,Åbacka,Vantaa
236,Abiturientin aukio,Abiturients platsen,Vantaa
237,Abrams,Abrams,Vantaa
238,Åby,Åby,Vantaa
239,Åbyn yritysalue,Åby företagsområde,Vantaa
240,Åbynkuja,Åbygränden,Vantaa
241,Åbynranta,Åbystranden,Vantaa
242,Åbyntie,Åbyvägen,Vantaa
243,Adam Walliuksen katu,Adam Wallius gata,Vantaa
244,Adelheidinpuisto,Adelheidsparken,Vantaa
245,Aerola,Aerola,Vantaa
246,Aerolankaari,Aerolabågen,Vantaa
247,Aerolankenttä,Aerolaplanen,Vantaa
248,Aeronportti,Aeroporten,Vantaa
249,Äeskuja,Harvgränden,Vantaa
250,Äespolku,Harvstigen,Vantaa
251,Ahdekuja,Sluttningsgränden,Vantaa
252,Ahdetie,Sluttningsvägen,Vantaa
253,Ahdinkuja,Ahtigränden,Vantaa
254,Ahjokuja,Ässjegränden,Vantaa
255,Ahjoniitty,Ässjeängen,Vantaa
256,Ahlkulla,Ahlkulla,Vantaa
257,Ahmakuja,Järvgränden,Vantaa
258,Ahmapolku,Järvstigen,Vantaa
259,Ahmapuisto,Järvparken,Vantaa
260,Ahmatie,Järvvägen,Vantaa
261,Ahokuja,Svedjegränden,Vantaa
262,Ahola,Ahola,Vantaa
263,Aholantie,Aholavägen,Vantaa
264,Ahoniitunoja,Ahoniittubäcken,Vantaa
265,Ahoniityntie,Svedängsvägen,Vantaa
266,Ahopolku,Svedjestigen,Vantaa
267,Ahotie,Svedjevägen,Vantaa
268,Ahtimäentie,Ahtibackavägen,Vantaa
269,Ahtimäet,Ahtimäet,Vantaa
270,Ahvenkuja,Abborrgränden,Vantaa
271,Ahvenpuisto,Abborrparken,Vantaa
272,Ahventie,Abborrvägen,Vantaa
273,Äijänkallio,Gubbeberget,Vantaa
274,Äijänsuo,Gubbmossen,Vantaa
275,Ailakkipolku,Blärastigen,Vantaa
276,Ailakkipuisto,Bläraparken,Vantaa
277,Ailakkitie,Bläravägen,Vantaa
278,Äimäkuja,Säcknålsgränden,Vantaa
279,Aimonkuja,Aimogränden,Vantaa
280,Ainonkuja,Ainogränden,Vantaa
281,Ainontie,Ainovägen,Vantaa
282,Aisakellonkuja,Slädklocksgränden,Vantaa
283,Aisakellonpolku,Slädklocksstigen,Vantaa
284,Aisakellontie,Slädklocksvägen,Vantaa
285,Aisakuja,Skakelgränden,Vantaa
286,Aisaparintie,Parhästvägen,Vantaa
287,Aisatie,Skalmvägen,Vantaa
288,Aitakuja,Gärdesgränden,Vantaa
289,Aitanavain,Bodnyckeln,Vantaa
290,Aitanporras,Bodstegen,Vantaa
291,Aitapuisto,Gärdesparken,Vantaa
292,Aittapuisto,Bodparken,Vantaa
293,Aittarivi,Bodlängan,Vantaa
294,Ajolenkki,Körlänken,Vantaa
295,Ajomiehenkuja,Körkarlens gränd,Vantaa
296,Ajomiehenpolku,Körkarlens stig,Vantaa
297,Ajomiehentie,Körkarlens väg,Vantaa
298,Ajoportti,Inkörsporten,Vantaa
299,Ajopuunpuisto,Skridstångsparken,Vantaa
300,Akaattikuja,Agatgränden,Vantaa
301,Akanapolku,Agnstigen,Vantaa
302,Akatemianpuisto,Akademiparken,Vantaa
303,Akatemiantaival,Akademistråten,Vantaa
304,Akatemiantie,Akademievägen,Vantaa
305,Åkstallet,Åkstallet,Vantaa
306,Akvamariinikuja,Akvamaringränden,Vantaa
307,Alakoukku,Nedre kroken ,Vantaa
308,Alankotie,Låglandsvägen,Vantaa
309,Albert Petreliuksen katu,Albert Petrelius gata,Vantaa
310,Alhokuja,Dalgångsgränden,Vantaa
311,Alhopuisto,Dalgångsparken,Vantaa
312,Alikerava,Alikerava,Vantaa
313,Ali-Keravan tie,Ytterkervovägen,Vantaa
314,Alkärrsåkern,Alkärrsåkern,Vantaa
315,Allitie,Alfågelvägen,Vantaa
316,Alppitie,Alpvägen,Vantaa
317,Altainkuja,Altaigränden,Vantaa
318,Altainpolku,Altaistigen,Vantaa
319,Altaintie,Altaivägen,Vantaa
320,Alumiinikuja,Aluminiumgränden,Vantaa
321,Ämmäntaina,0,Vantaa
322,Ampiaisenkuja,Getingsgränden,Vantaa
323,Ampiaisentie,Getingsvägen,Vantaa
324,Andersinkatu,Andersgatan,Vantaa
325,Andersinoja,Andersbäcken,Vantaa
326,Angervokuja,Spireagränden,Vantaa
327,Angervopolku,Spireastigen,Vantaa
328,Angervotanhua,Spireatunet,Vantaa
329,Angervotie,Spireavägen,Vantaa
330,Aniskuja,Anisgränden,Vantaa
331,Anispuisto,Anisparken,Vantaa
332,Ankeriaantie,Ålvägen,Vantaa
333,Ankkalammet,Ankdammarna,Vantaa
334,Ankkapuisto,Ankparken,Vantaa
335,Annankallionpolku,Annebergsstigen,Vantaa
336,Annankalliontie,Annebergsvägen,Vantaa
337,Annefredinkatu,Annfredsgatan,Vantaa
338,Annefredinpolku,Annefredsstigen,Vantaa
339,Annentie,Annevägen,Vantaa
340,Ansakuja,Snargränden,Vantaa
341,Ansatie,Snarvägen,Vantaa
342,Antaksenpolku,Antasstigen,Vantaa
343,Antaksenpuisto,Antasparken,Vantaa
344,Antaksenranta,Antasstranden,Vantaa
345,Antaksentie,Antasvägen,Vantaa
346,Antennitie,Antennvägen,Vantaa
347,Anterontie,Anterovägen,Vantaa
348,Anttilankuja,Anttilagränden,Vantaa
349,Anttilanpuisto,Anttilaparken,Vantaa
350,Anttilantie,Anttilavägen,Vantaa
351,Anturikenttä,Sensorpalnen,Vantaa
352,Apajakuja,Varpgränden,Vantaa
353,Apilapuisto,Klöverparken,Vantaa
354,Apilatie,Klövervägen,Vantaa
355,Apollokuja,Apollogränden,Vantaa
356,Apotinpolku,Abbotstigen,Vantaa
357,Araliatie,Araliavägen,Vantaa
358,Arinatie,Ärilsvägen,Vantaa
359,Arjankuja,Arjagränden,Vantaa
360,Arjantie,Arjavägen,Vantaa
361,Armintie,Armivägen,Vantaa
362,Arpa-aukio,Lottplatsen,Vantaa
363,Arthur Nymanin puisto,Arthur Nymans park,Vantaa
364,Artsinpolku,Artsistigen,Vantaa
365,Artturintie,Arthurvägen,Vantaa
366,Arvo Tammisen polku,Arvo Tamminens stig,Vantaa
367,Asemanramppi,Stationsrampen,Vantaa
368,Askiminpolku,Askimstigen,Vantaa
369,Askinmäki,Askbacken,Vantaa
370,Askinpolku,Askstigen,Vantaa
371,Askinpuistikko,Askparken,Vantaa
372,Askisto,Askis,Vantaa
373,Askistonmetsä,Askisskogen,Vantaa
374,Askistonpuisto,Askisparken,Vantaa
375,Askistonraitti,Askisstråket,Vantaa
376,Askistonsilta,Askisbron,Vantaa
377,Askistontie,Askisvägen,Vantaa
378,Asola,Asola,Vantaa
379,Asolan Veteraanipuisto,Asola Veteranpark,Vantaa
380,Asolanpolku,Asolastigen,Vantaa
381,Asolanpuisto,Asolaparken,Vantaa
382,Asolantie,Asolavägen,Vantaa
383,Asolanväylä,Asolaleden,Vantaa
384,Assistentinpuisto,Assistentparken,Vantaa
385,Asterinkuja,Astergränden,Vantaa
386,Asterintie,Astervägen,Vantaa
387,Asteripuisto,Asterparken,Vantaa
388,Atlaspolku,Atlasstigen,Vantaa
389,Atlaspuisto,Atlasparken,Vantaa
390,Atlastie,Atlasvägen,Vantaa
391,Auerlantie,Auerlavägen,Vantaa
392,Auertie,Solröksvägen,Vantaa
393,Aulikinkuja,Aulikkigränden,Vantaa
394,Aulikintie,Aulikkivägen,Vantaa
395,Aumakuja,Vålmgränden,Vantaa
396,Aunentie,Agnesvägen,Vantaa
397,Aurakuja,Ploggränden,Vantaa
398,Auramontie,Auramovägen,Vantaa
399,Auratie,Plogvägen,Vantaa
400,Auringonkehrä,Solskivan,Vantaa
401,Auringonkierto,Solvändan,Vantaa
402,Aurinkokivenkuja,Solstensgränden,Vantaa
403,Aurinkokivenpiha,Solstensgården,Vantaa
404,Aurinkomäentie,Solbergsvägen,Vantaa
405,Aurinkomäki,Solberget,Vantaa
406,Aurinkotie,Solvägen,Vantaa
407,Aurtuakatu,Örtugsgatan,Vantaa
408,Aurtuapuisto,Örtugsparken,Vantaa
409,Aurtuaraitti,Örtugsstråket,Vantaa
410,Autiomäki,Ödesbacken,Vantaa
411,Autioniitty,Ödesängen,Vantaa
412,Avainpolku,Nyckelstigen,Vantaa
413,Åvalla,Åvalla,Vantaa
414,Aventuriinikuja,Aventuringränden,Vantaa
415,Aventuriinipiha,Aventuringården,Vantaa
416,Avia-aukio,Aviaplatsen,Vantaa
417,Aviapoliksen asema,Aviapolis station,Vantaa
418,Aviapolis,Aviapolis,Vantaa
419,Äyrikuja,Öregränden,Vantaa
420,Äyritie,Örevägen,Vantaa
421,Backaksenoja,Backasbäcken,Vantaa
422,Backaksenpolku,Backasstigen,Vantaa
423,Backas,0,Vantaa
424,Bäckbynpuisto,Bäckbyparken,Vantaa
425,Bäckbyntie,Bäckbyvägen,Vantaa
426,Bäckesåkrarna,Bäckesåkrarna,Vantaa
427,Bergbo,Bergbo,Vantaa
428,Bergkulla,Bergkulla,Vantaa
429,Bergkullantie,Bergkullavägen,Vantaa
430,Bergsbron,Bergsbron,Vantaa
431,Bertaksenkuja,Bertasgränden,Vantaa
432,Bertaksentie,Bertasvägen,Vantaa
433,Bertas,Bertas,Vantaa
434,Beryllikatu,Beryllgatan,Vantaa
435,Berylliportti,Beryllporten,Vantaa
436,Beryllipuisto,Beryllparken,Vantaa
437,Birkanpolku,Birkastigen,Vantaa
438,Bisa,Bisa,Vantaa
439,Bisajärventie,Bisaträskvägen,Vantaa
440,Bisajärvi,Bisaträsk,Vantaa
441,Bisaoja,Bisabäcken,Vantaa
442,Björkbacka,Björkbacka,Vantaa
443,Björkvik,Björkvik,Vantaa
444,Blylodinpuisto,Blylodsparken,Vantaa
445,Boismaninpuisto,Boismanparken,Vantaa
446,Bökarsinoja,Bökarsbacken,Vantaa
447,Bölenpolku,Bölestigen,Vantaa
448,Bölenraitti,Bölestråket,Vantaa
449,Borgbyntie,Borgbyvägen,Vantaa
450,Boxböle,Boxböle,Vantaa
451,Brändoninoja,Brändonbäcken,Vantaa
452,Brandtsinmäet,Brandtsbackarna,Vantaa
453,Brännberget,Brännberget,Vantaa
454,Brännstakanniitty,Brännstakaängen,Vantaa
455,Bräntilänaukio,Bräntiläplatsen,Vantaa
456,Bräntilänpolku,Bräntilästigen,Vantaa
457,Bredmalm,Bredmalm,Vantaa
458,Brudbrinken,Brudbrinken,Vantaa
459,Buldersinpuisto,Buldersparken,Vantaa
460,Buldersinviita,Buldersdungen,Vantaa
461,Byända,Byända,Vantaa
462,Bykstugan,Bykstugan,Vantaa
463,Caravellentie,Caravellevägen,Vantaa
464,Carl Albert Edelfeltin aukio,Carl Albert Edelfelts plats,Vantaa
465,Cessnanpolku,Cessnastigen,Vantaa
466,Chopininpolku,Chopinstigen,Vantaa
467,Currenkuja,Curres gränd,Vantaa
468,Dalforsinniemi,Dalforsnäset,Vantaa
469,Danis,Danis,Vantaa
470,Degermosantie,Degermossvägen,Vantaa
471,Delfiiniaukio,Delfinplatsen,Vantaa
472,Delfiinitie,Delfinens väg,Vantaa
473,Diakoniasäätiö Foibe,0,Vantaa
474,Djupbäck,Djupbäck,Vantaa
475,Drakeninkuja,Drakensgränden,Vantaa
476,Drakeninpolku,Drakensstigen,Vantaa
477,Ebbanpolku,Ebbastigen,Vantaa
478,Eddapolku,Eddastigen,Vantaa
479,Edvard Blomqvistin polku,Edvard Blomqvists stig,Vantaa
480,Eero Tolamon polku,Eero Tolamos stig,Vantaa
481,Eevankuja,Evagränden,Vantaa
482,Eevantie,Evavägen,Vantaa
483,Ehrnroothinpuisto,Ehrnroothsparken,Vantaa
484,Eilanpuisto,Eilaparken,Vantaa
485,Eilantie,Eilavägen,Vantaa
486,Eino Sirenin katu,Eino Sirens gata,Vantaa
487,Elannonpuisto,Elantoparken,Vantaa
488,Elannontie,Elantovägen,Vantaa
489,Elinankuja,Elinagränden,Vantaa
490,Elinbackanpolku,Elinbackastigen,Vantaa
491,Ellinpolku,Ellistigen,Vantaa
492,Elmon urheilupuisto,Elmo idrottspark,Vantaa
493,Elmonaukio,Elmoplatsen,Vantaa
494,Elmonkuja,Elmogränden,Vantaa
495,Elmonpolku,Elmostigen,Vantaa
496,Elmontie,Elmovägen,Vantaa
497,Elopelto 1,Sädesåkern 1,Vantaa
498,Elopelto 2,Sädesåkern 2,Vantaa
499,Elopolku,Sädstigen,Vantaa
500,Elsantie,Elsavägen,Vantaa
501,Emännänkuja,Husmorsgränden,Vantaa
502,Emeleuksenkuja,Emeleusgränden,Vantaa
503,Emiliantie,Emiliavägen,Vantaa
504,Emosiilinkuja,Honigelkottsgränden,Vantaa
505,Ensimmäinensavu,Första röken,Vantaa
506,Ensimmäinentie,Första vägen,Vantaa
507,Epinkoskenpuisto,Ebbforsparken,Vantaa
508,Epinkoskentie,Ebbforsvägen,Vantaa
509,Eppilänkuja,Ebbilägränden,Vantaa
510,Eppilänpuisto,Ebbiläparken,Vantaa
511,Eppiläntie,Ebbilävägen,Vantaa
512,Eräkuja,Jaktgränden,Vantaa
513,Eräpolku,Jaktstigen,Vantaa
514,Erätorpantie,Jaktstuguvägen,Vantaa
515,Eric Von Rettigin puisto,Eric Von Rettigs park,Vantaa
516,Erikaksenpolku,Erikasstigen,Vantaa
517,Erikaksensillat,Erikasbroarna,Vantaa
518,Erikas,Erikas,Vantaa
519,Erkintie,Eriksvägen,Vantaa
520,Erkki Rantalan niitty,Erkki Rantalas äng,Vantaa
521,Erkkiläntie,Erkkilävägen,Vantaa
522,Esankuja,Esagränden,Vantaa
523,Esantie,Esavägen,Vantaa
524,Esikkopuistonkenttä,Gullvivsparksplanen,Vantaa
525,Esikkotie,Gullvivsvägen,Vantaa
526,Eskilsbackanpelto,Eskilsbackaåkern,Vantaa
527,Eskonkuja,Eskogränden,Vantaa
528,Eskonpuisto,Eskoparken,Vantaa
529,Essonpuisto,Essoparken,Vantaa
530,Estepolku,Hinderstigen,Vantaa
531,Estepuisto,Hinderparken,Vantaa
532,Ester Koskelaisen puisto,Ester Koskelainens park,Vantaa
533,Esterinkuja,Estergränden,Vantaa
534,Estetie,Hindervägen,Vantaa
535,Etanakuja,Snigelgränden,Vantaa
536,Etanansarvi,Snigelsprötet,Vantaa
537,Etanapuisto,Snigelparken,Vantaa
538,Eteläinen huoltotie,Södra servicevägen,Vantaa
539,Eteläinen Nikinmäentie,Södra Nissbackavägen,Vantaa
540,Eteläinen Rastitie,Södra Rastvägen,Vantaa
541,Eteläkaari,Södersvängen,Vantaa
542,Etnankuja,Etnagränden,Vantaa
543,Euroopanaukio,Europaplatsen,Vantaa
544,Eväspuisto,Vägkostparken,Vantaa
545,Evästie,Matsäcksvägen,Vantaa
546,Everstintie,Överstevägen,Vantaa
547,Fågelberg,Fågelberg,Vantaa
548,Fågelberginoja,Fågelbergsbäcken ,Vantaa
549,Fallbackankaari,Fallbackabågen,Vantaa
550,Fallbackanpuisto,Fallbackaparken,Vantaa
551,Fallbackantie,Fallbackavägen,Vantaa
552,Fallinpellonoja,Fallåkersbäcken,Vantaa
553,Fårkask,Fårkask,Vantaa
554,Fasaanipolku,Fasanstigen,Vantaa
555,Fasaanipuisto,Fasanparken,Vantaa
556,Fasaanirinne,Fasanbrinken,Vantaa
557,Fasaanitie,Fasanvägen,Vantaa
558,Fastbölentie,Fastbölevägen,Vantaa
